category,frequency,total risk,average risk
Decentralized Marketplace,42,42,1.0
P2P Crypto Marketplace,3,15,5.0
High-Risk Exchange,9,90,10.0
Non-Custodial Exchange,6,30,5.0
Hacked or Stolen Funds,79,790,10.0
Scam,17,170,10.0
Mining,6,6,1.0
Adult Content,1,5,5.0
Decentralized Exchange,544,2720,5.0
Investment Scheme,6,30,5.0
Lending Service,25,25,1.0
Cryptocurrency ATM,4,20,5.0
Sanctions,3,45,15.0
