Decentraland,Cryptovoxels,Lido,KnownOrigin,Foundation,Cryptopunk,Sandbox,Uniswap,SushiSwap,Aave,Compound,Ribbon,DODO,Debank,Zapper,Zora,OpenSea,Liquity,SuperRare,Rarible,Bored Ape Yacht Club,ShibaSwap,InstaDApp,RabbitHole,Otherside,CowSwap,Layer3
5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,12,1,4,2,0,168,19,64,49,0,10,0,9,0,0,5,0,0,0,0,0,2,13,0,0
0,0,0,1,0,1,0,47,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
